City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Bengkulu,ID,2022-01-24 15:43:45,-3.8004,102.2655,77.54,81,100,1.63
177,Coihaique,CL,2022-01-24 15:43:46,-45.5752,-72.0662,63.21,55,40,12.66
178,Diu,IN,2022-01-24 15:43:46,20.7141,70.9822,62.37,52,0,2.3
179,Praxedis Guerrero,MX,2022-01-24 15:43:47,31.3667,-106.0167,40.42,52,2,11.23
180,Nantucket,US,2022-01-24 15:43:10,41.2835,-70.0995,36.09,68,0,10.36
181,Upernavik,GL,2022-01-24 15:43:47,72.7868,-56.1549,-4.88,73,92,9.17
182,Neryungri,RU,2022-01-24 15:43:47,56.6709,124.6491,-19.53,100,74,1.48
183,Broken Hill,AU,2022-01-24 15:43:48,-31.95,141.4333,73.11,73,75,6.91
184,Padang,ID,2022-01-24 15:43:48,-0.9492,100.3543,77.05,79,100,3.04
185,Pitimbu,BR,2022-01-24 15:43:49,-7.4706,-34.8086,88.39,61,26,10.78
186,Clarksburg,US,2022-01-24 15:44:49,39.2807,-80.3445,31.21,68,40,6.91
187,Imbituba,BR,2022-01-24 15:44:49,-28.24,-48.6703,89.49,58,63,17.31
188,Ormara,PK,2022-01-24 15:44:50,25.2088,64.6357,67.24,34,0,5.5
189,Biak,ID,2022-01-24 15:44:50,-0.9131,122.8766,76.96,84,48,4.7
190,Cuenca,EC,2022-01-24 15:44:34,-2.8833,-78.9833,62.73,77,100,3.44
191,Marshall,US,2022-01-24 15:41:22,34.3834,-86.3333,47.32,69,0,3.0
192,Sinnamary,GF,2022-01-24 15:44:51,5.3833,-52.95,76.98,86,96,9.66
193,Bandarbeyla,SO,2022-01-24 15:44:51,9.4942,50.8122,75.25,66,96,21.54
194,East London,ZA,2022-01-24 15:41:01,-33.0153,27.9116,74.34,73,0,17.27
195,Ancud,CL,2022-01-24 15:44:52,-41.8697,-73.8203,63.43,70,55,5.95
196,Oksfjord,NO,2022-01-24 15:44:52,70.2396,22.3479,28.99,82,100,31.45
197,Osypenko,UA,2022-01-24 15:44:53,46.9136,36.8253,28.02,96,100,12.75
198,Victoria,HK,2022-01-24 15:44:30,22.2855,114.1577,68.38,87,100,1.01
199,Bridlington,GB,2022-01-24 15:44:53,54.0831,-0.1919,42.3,85,0,7.78
200,Kilindoni,TZ,2022-01-24 15:44:53,-7.9139,39.6668,81.46,77,88,21.81
201,Albi,FR,2022-01-24 15:44:54,43.9298,2.148,60.04,70,0,2.53
202,Gombong,ID,2022-01-24 15:44:54,-7.6072,109.5142,79.11,87,99,2.73
203,Nizhniy Kuranakh,RU,2022-01-24 15:44:55,58.8353,125.4869,-14.57,99,54,3.62
204,Ruteng,ID,2022-01-24 15:44:55,-8.6136,120.4721,64.08,91,99,1.03
